threshold,tp_threshold,sl_threshold,tp_sell,sl_sell,CAGR,MDD,Sharpe,Sortino,CumulativeReturn,Trades,HitDays,NumTP,NumSL
-4.1,15.0,-50.0,25.0,25.0,0.06406070698243926,-0.8231211263856449,0.0,0.0,0.7443979899434752,252.0,252.0,0.0,0.0
-4.1,15.0,-50.0,25.0,50.0,0.06525552729175432,-0.8119480108211774,0.0,0.0,0.7620290899420044,252.0,252.0,0.0,0.0
-4.1,15.0,-50.0,25.0,75.0,0.06651196322851738,-0.7932287614097056,0.0,0.0,0.7807400105414226,252.0,252.0,39.0,2.0
-4.1,15.0,-50.0,25.0,100.0,0.06961946179563339,-0.7869923349763228,0.0,0.0,0.8277774054908755,252.0,252.0,40.0,2.0
-4.1,15.0,-50.0,50.0,25.0,0.06431510055821632,-0.7544698495042094,0.0,0.0,0.7481387032134901,252.0,252.0,45.0,2.0
-4.1,15.0,-50.0,50.0,50.0,0.06405699135746179,-0.7384770504702963,0.0,0.0,0.7443434065177195,252.0,252.0,45.0,2.0
-4.1,15.0,-50.0,50.0,75.0,0.06352190919859968,-0.7341803198141249,0.0,0.0,0.7364987455300807,252.0,252.0,45.0,2.0
-4.1,15.0,-50.0,50.0,100.0,0.06424979997386115,-0.7294383391973057,0.0,0.0,0.7471778159196762,252.0,252.0,45.0,2.0
-4.1,15.0,-50.0,75.0,25.0,0.0673676647778545,-0.6642540885103458,0.0,0.0,0.7935840093141493,252.0,252.0,42.0,1.0
-4.1,15.0,-50.0,75.0,50.0,0.06651601465636503,-0.6642540885103458,0.0,0.0,0.7808006290492906,252.0,252.0,42.0,1.0
-4.1,15.0,-50.0,75.0,75.0,0.06609354867998118,-0.6642540885103458,0.0,0.0,0.7744894462884198,252.0,252.0,43.0,1.0
-4.1,15.0,-50.0,75.0,100.0,0.06435896879714642,-0.6613068499152011,0.0,0.0,0.748784480697483,252.0,252.0,43.0,1.0
-4.1,15.0,-50.0,100.0,25.0,0.06525878877166269,-0.5679151130354492,0.0,0.0,0.7620774331046316,252.0,252.0,41.0,1.0
-4.1,15.0,-50.0,100.0,50.0,0.06387459226974235,-0.5679151130354493,0.0,0.0,0.7416657847777579,252.0,252.0,41.0,1.0
-4.1,15.0,-50.0,100.0,75.0,0.06261643764570524,-0.5679151130354494,0.0,0.0,0.7232953012835719,252.0,252.0,41.0,1.0
-4.1,15.0,-50.0,100.0,100.0,0.061204435968674975,-0.5641221934148037,0.0,0.0,0.7028836529566986,252.0,252.0,41.0,1.0
-4.1,15.0,-45.0,25.0,25.0,0.06576508685819404,-0.8310742982623781,0.0,0.0,0.7695963222401263,252.0,252.0,0.0,0.0
-4.1,15.0,-45.0,25.0,50.0,0.07229287149660268,-0.8170125764973211,0.0,0.0,0.8691239854512629,252.0,252.0,0.0,0.0
-4.1,15.0,-45.0,25.0,75.0,0.06984390937377771,-0.7956889744859745,0.0,0.0,0.8312171603032938,252.0,252.0,38.0,2.0
-4.1,15.0,-45.0,25.0,100.0,0.07489220667711893,-0.7668406611216088,0.0,0.0,0.9101195279936645,252.0,252.0,40.0,2.0
-4.1,15.0,-45.0,50.0,25.0,0.06191615491025315,-0.7664775214925598,0.0,0.0,0.7131451299060871,252.0,252.0,43.0,2.0
-4.1,15.0,-45.0,50.0,50.0,0.06361106256626758,-0.7550537619707919,0.0,0.0,0.737803613242408,252.0,252.0,44.0,2.0
-4.1,15.0,-45.0,50.0,75.0,0.06504760579009994,-0.7306801154220799,0.0,0.0,0.7589496122212711,252.0,252.0,44.0,2.0
-4.1,15.0,-45.0,50.0,100.0,0.06920732801479001,-0.7294383391973057,0.0,0.0,0.8214762238189677,252.0,252.0,46.0,2.0
-4.1,15.0,-45.0,75.0,25.0,0.06463695209393383,-0.6404711004078071,0.0,0.0,0.7528815582154438,252.0,252.0,46.0,2.0
-4.1,15.0,-45.0,75.0,50.0,0.06482502679618607,-0.6404711004078071,0.0,0.0,0.7556583454498891,252.0,252.0,47.0,2.0
-4.1,15.0,-45.0,75.0,75.0,0.06418010857859535,-0.6404711004078071,0.0,0.0,0.7461528362071217,252.0,252.0,48.0,2.0
-4.1,15.0,-45.0,75.0,100.0,0.06191303765330147,-0.6404711004078071,0.0,0.0,0.7131000661656854,252.0,252.0,45.0,2.0
-4.1,15.0,-45.0,100.0,25.0,0.06248434937123304,-0.5597863994933625,0.0,0.0,0.721376684036761,252.0,252.0,45.0,2.0
-4.1,15.0,-45.0,100.0,50.0,0.061349820340740324,-0.5597863994933625,0.0,0.0,0.7049753378886043,252.0,252.0,45.0,2.0
-4.1,15.0,-45.0,100.0,75.0,0.060146771032839164,-0.5597863994933625,0.0,0.0,0.6877352295790014,252.0,252.0,45.0,2.0
-4.1,15.0,-45.0,100.0,100.0,0.059040216424628866,-0.5597863994933625,0.0,0.0,0.6720148439458551,252.0,252.0,43.0,2.0
-4.1,15.0,-40.0,25.0,25.0,0.06452175287788364,-0.8344277369060097,0.0,0.0,0.7511826524422647,252.0,252.0,0.0,0.0
-4.1,15.0,-40.0,25.0,50.0,0.0710625722564644,-0.8217766690643449,0.0,0.0,0.8499942685361348,252.0,252.0,0.0,0.0
-4.1,15.0,-40.0,25.0,75.0,0.08501150251635203,-0.7655613898822311,0.0,0.0,1.0774311144655475,252.0,252.0,43.0,4.0
