threshold,tp_threshold,sl_threshold,tp_sell,sl_sell,CAGR,MDD,Sharpe,Sortino,CumulativeReturn,Trades,HitDays,NumTP,NumSL
-4.1,15.0,-50.0,25.0,25.0,0.4031373728440635,-0.6526452381162482,0.0,0.0,1.6135869854109233,71.0,71.0,15.0,0.0
-4.1,15.0,-50.0,25.0,50.0,0.4031373728440635,-0.6526452381162482,0.0,0.0,1.6135869854109233,71.0,71.0,15.0,0.0
-4.1,15.0,-50.0,25.0,75.0,0.4031373728440635,-0.6526452381162482,0.0,0.0,1.6135869854109233,71.0,71.0,15.0,0.0
-4.1,15.0,-50.0,25.0,100.0,0.4031373728440635,-0.6526452381162482,0.0,0.0,1.6135869854109233,71.0,71.0,15.0,0.0
-4.1,15.0,-50.0,50.0,25.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,50.0,50.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,50.0,75.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,50.0,100.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,75.0,25.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,75.0,50.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,75.0,75.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,75.0,100.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-50.0,100.0,25.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-50.0,100.0,50.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-50.0,100.0,75.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-50.0,100.0,100.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-45.0,25.0,25.0,0.33023413340845753,-0.6512730309306377,0.0,0.0,1.2465251761041873,71.0,71.0,18.0,1.0
-4.1,15.0,-45.0,25.0,50.0,0.30895633836214853,-0.648495832531186,0.0,0.0,1.1460908043010236,71.0,71.0,18.0,1.0
-4.1,15.0,-45.0,25.0,75.0,0.2853235592939811,-0.6418404239284029,0.0,0.0,1.0380011591761482,71.0,71.0,18.0,1.0
-4.1,15.0,-45.0,25.0,100.0,0.27025294637132147,-0.6373705315148581,0.0,0.0,0.9709499137996136,71.0,71.0,19.0,1.0
-4.1,15.0,-45.0,50.0,25.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,50.0,50.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,50.0,75.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,50.0,100.0,0.38622021862558453,-0.6264022445910038,0.0,0.0,1.525194512476172,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,75.0,25.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,75.0,50.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,75.0,75.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,75.0,100.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-45.0,100.0,25.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-45.0,100.0,50.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-45.0,100.0,75.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
